[thewall.game.TheWall] [19:14:50] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:14:51] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:14:52] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:14:53] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:14:54] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:14:55] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:14:56] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:14:57] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:14:58] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:14:59] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:15:00] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:15:01] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:15:02] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:15:03] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:15:04] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:15:05] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:15:06] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:15:07] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:15:08] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:15:09] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:15:10] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:15:11] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:15:12] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:15:13] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:15:14] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:15:15] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:15:16] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:15:17] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:15:18] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:15:19] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:15:20] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:15:21] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:15:22] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:15:23] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:15:24] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:15:25] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:15:26] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:15:27] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:15:28] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:15:29] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:15:30] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:15:31] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:15:32] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:15:33] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:15:34] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:15:35] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:15:36] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:15:37] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:15:38] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:15:39] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:15:40] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:15:41] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:15:42] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:15:43] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:15:44] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:15:45] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:15:46] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:15:47] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:15:48] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:15:49] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:15:50] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:15:51] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:15:52] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:15:53] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:15:54] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:15:55] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:15:56] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:15:57] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:15:58] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:15:59] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:16:00] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:16:01] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:16:02] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:16:03] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:16:04] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:16:05] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:16:06] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:16:07] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:16:08] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:16:09] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:16:10] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:16:11] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:16:12] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:16:13] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:16:14] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:16:15] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:16:16] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:16:17] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:16:18] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:16:19] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:16:20] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:16:21] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:16:22] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:16:23] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:16:24] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:16:25] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:16:26] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:16:27] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
